venue_id,venue_name,current_monday,current_tuesday,current_wednesday,current_thursday,current_friday,current_saturday,current_sunday,last_year_monday,last_year_tuesday,last_year_wednesday,last_year_thursday,last_year_friday,last_year_saturday,last_year_sunday,current_week_total,last_year_week_total,monday_change,tuesday_change,wednesday_change,thursday_change,friday_change,saturday_change,sunday_change,week_change,week_number,year,personnel_expense_ratio,estimated_profit,debit_variation,debit_variation_previous,debit_variation_variation,holiday_name,holiday_flag
5,VITORIA,0.0,315.0,473.5,362.25,1487.05,3232.45,1706.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7576.9,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3,2024,0.0,7576.9,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2024,0.0,0.0,,,,,False
1,PAMPLONA,569.08,645.65,862.95,633.2,2427.39,2518.44,1614.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9271.57,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4,2024,0.0,9271.57,,,,,False
2,BILBAO,481.75,293.46,784.68,597.19,1549.65,2614.85,1445.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7767.08,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4,2024,0.0,7767.08,,,,,False
3,BURGOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2024,0.0,0.0,,,,,False
4,SAN SEBASTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2024,0.0,0.0,,,,,False
5,VITORIA,0.0,290.0,241.25,889.35,1510.73,2767.6,1030.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6729.03,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4,2024,0.0,6729.03,,,,,False
6,ZARAGOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2024,0.0,0.0,,,,,False
1,PAMPLONA,563.65,774.3,609.55,1175.8,1916.6,2837.23,2144.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10021.45,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,2024,0.0,10021.45,,,,,False
2,BILBAO,298.5,568.25,589.27,540.63,1735.55,2088.35,1990.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7810.93,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,2024,0.0,7810.93,,,,,False
